epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.039,1.34591,16.3078,1.00054,2e-05,0.02353,0,0,1.3649,10.8305,1.24596,0.000666258,0.000666258,0.000666258
2,490.285,1.30149,4.1279,0.9823,0.00158,0.03529,0.00011,4e-05,1.29266,3.47717,0.99819,0.00131973,0.00131973,0.00131973
3,868.88,1.28114,2.40446,0.93416,0.00101,0.05882,0.0003,3e-05,1.34523,2.79794,1.11883,0.00196,0.00196,0.00196
4,1511.18,1.31572,2.2469,1.00666,0.00593,0.25882,0.00306,0.00073,1.27929,2.42076,1.0975,0.0019406,0.0019406,0.0019406
5,1995.31,1.21747,2.0706,0.95032,0.0054,0.28235,0.01208,0.00376,1.23362,2.30297,1.04122,0.0019208,0.0019208,0.0019208
6,2428.66,1.28836,2.06089,1.0159,0.026,0.21176,0.01825,0.00505,1.24661,2.33284,1.03688,0.001901,0.001901,0.001901
