epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4807.84,1.58396,1.86536,1.06477,0.48247,0.21176,0.1932,0.07092,1.56775,2.26456,1.1179,0.0011882,0.0011882,0.0011882
43,4896.25,1.74491,1.99916,1.13088,0.596,0.16471,0.19787,0.08688,1.60164,2.05805,1.12823,0.0011684,0.0011684,0.0011684
44,4987.68,1.60568,1.81618,1.04181,0.39757,0.21176,0.20655,0.08693,1.66046,2.24228,1.16461,0.0011486,0.0011486,0.0011486
45,5079.21,1.56293,1.80315,1.04008,0.48231,0.23024,0.2276,0.09254,1.64845,2.23353,1.18386,0.0011288,0.0011288,0.0011288
46,5173.29,1.69185,1.8835,1.11104,0.37288,0.23089,0.2208,0.07797,1.64968,2.18383,1.15175,0.001109,0.001109,0.001109
47,5265.75,1.60229,1.78231,1.04152,0.3796,0.21601,0.17707,0.07076,1.62437,2.14781,1.12736,0.0010892,0.0010892,0.0010892
48,5358.28,1.59184,1.82511,1.03918,0.46643,0.24706,0.2438,0.0908,1.59108,2.09172,1.12451,0.0010694,0.0010694,0.0010694
49,5452.48,1.67037,1.84762,1.08857,0.51695,0.24706,0.23456,0.09319,1.64737,2.16502,1.12831,0.0010496,0.0010496,0.0010496
50,5544.89,1.66722,1.84937,1.0776,0.38838,0.23164,0.20848,0.09133,1.56449,2.1037,1.07911,0.0010298,0.0010298,0.0010298
51,5637.08,1.57276,1.77355,1.04023,0.4425,0.21176,0.21868,0.09031,1.57364,2.11689,1.07968,0.00101,0.00101,0.00101
52,5730.85,1.56239,1.70271,1.02398,0.44344,0.23436,0.21858,0.08765,1.61827,2.18506,1.1337,0.0009902,0.0009902,0.0009902
53,5823.18,1.60856,1.74725,1.0672,0.31452,0.23529,0.22021,0.09493,1.55056,2.10159,1.10183,0.0009704,0.0009704,0.0009704
54,5916.71,1.51423,1.70532,1.03317,0.46618,0.21582,0.2507,0.10004,1.55557,1.96766,1.10164,0.0009506,0.0009506,0.0009506
55,6008.6,1.49311,1.67652,1.00331,0.43396,0.22353,0.21453,0.08618,1.60473,2.01006,1.1085,0.0009308,0.0009308,0.0009308
56,6100.89,1.58652,1.77465,1.05288,0.35856,0.23529,0.21669,0.08337,1.58889,1.96787,1.11832,0.000911,0.000911,0.000911
57,6194.8,1.54848,1.72408,1.03054,0.29308,0.25367,0.21807,0.08974,1.49291,2.00191,1.06963,0.0008912,0.0008912,0.0008912
58,6287.68,1.57197,1.72912,1.03679,0.32016,0.27059,0.19746,0.08841,1.51107,1.95653,1.07986,0.0008714,0.0008714,0.0008714
59,6381.68,1.59168,1.73985,1.04517,0.41216,0.23529,0.21796,0.08722,1.54579,2.10387,1.09653,0.0008516,0.0008516,0.0008516
60,6473.7,1.54464,1.67326,1.02445,0.29154,0.27059,0.22029,0.09839,1.50929,2.04207,1.06818,0.0008318,0.0008318,0.0008318
61,6566.04,1.5362,1.69848,1.04229,0.36009,0.34118,0.25598,0.10468,1.53319,1.92206,1.09452,0.000812,0.000812,0.000812
62,6659.04,1.43283,1.59474,0.96208,0.56249,0.23529,0.25863,0.10603,1.5183,1.92075,1.08544,0.0007922,0.0007922,0.0007922
63,6752.1,1.51462,1.61201,1.00835,0.43285,0.32941,0.23147,0.08953,1.49126,1.88825,1.06431,0.0007724,0.0007724,0.0007724
64,6844.52,1.45142,1.58879,0.96889,0.44312,0.34118,0.25042,0.09865,1.5199,1.88369,1.09689,0.0007526,0.0007526,0.0007526
65,6937.55,1.46337,1.56001,0.97809,0.39521,0.30588,0.26105,0.11114,1.54772,1.91764,1.0888,0.0007328,0.0007328,0.0007328
