epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,529.222,1.7177,2.67005,1.35193,0.75334,0.55635,0.65444,0.31748,1.73394,2.81238,1.34293,0.00999182,0.00333061,0.00999182,0.00333061,0.00999182,0.00333061,0.00999182,0.00333061
2,1007.98,1.62243,1.55764,1.27445,0.76043,0.63457,0.71177,0.35554,1.72555,2.21312,1.36254,0.0197939,0.00659797,0.0197939,0.00659797,0.0197939,0.00659797,0.0197939,0.00659797
3,1451.05,1.65362,1.48384,1.31569,0.75227,0.58309,0.67268,0.33203,1.80949,2.16641,1.43964,0.029398,0.00979933,0.029398,0.00979933,0.029398,0.00979933,0.029398,0.00979933
4,1880.73,1.6563,1.44162,1.3442,0.81023,0.64933,0.7554,0.39894,1.68073,1.72096,1.40195,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2307.71,1.60116,1.32922,1.32041,0.80274,0.686,0.7778,0.40944,1.69672,1.72773,1.39506,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2736.46,1.57315,1.26362,1.30914,0.84628,0.70788,0.80564,0.43373,1.68824,1.56534,1.42313,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3175.83,1.54777,1.22227,1.29154,0.84752,0.69328,0.79618,0.43453,1.60012,1.58365,1.32741,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3609.13,1.53083,1.18634,1.28434,0.85398,0.72976,0.82666,0.46161,1.5764,1.444,1.34994,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4046.51,1.51343,1.15554,1.26734,0.88318,0.74033,0.83939,0.46496,1.58238,1.38457,1.33711,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4482.83,1.50365,1.13454,1.26401,0.88546,0.76548,0.86044,0.47088,1.59483,1.36029,1.36496,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4917.68,1.49838,1.10944,1.26628,0.89339,0.74264,0.8539,0.47666,1.59223,1.39889,1.37345,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5356.19,1.49222,1.1076,1.26853,0.87438,0.77133,0.87001,0.49038,1.57809,1.28036,1.35379,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5796.09,1.47563,1.07737,1.2502,0.88285,0.76267,0.8583,0.47805,1.58919,1.2943,1.33308,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6231.84,1.47437,1.07905,1.24497,0.88521,0.76777,0.86513,0.48968,1.54879,1.29829,1.31663,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6664.48,1.46461,1.0536,1.24282,0.88077,0.78501,0.87466,0.49436,1.54029,1.2938,1.31263,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7102.97,1.46225,1.04674,1.24011,0.88788,0.77626,0.86938,0.49212,1.54832,1.29948,1.31436,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7534.6,1.4557,1.03973,1.23269,0.898,0.79212,0.87926,0.50814,1.52343,1.20317,1.29892,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7966.95,1.45984,1.04072,1.23901,0.89603,0.7826,0.88028,0.50547,1.51721,1.31143,1.30377,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8387.55,1.44725,1.02129,1.23878,0.90505,0.78212,0.8796,0.50856,1.52327,1.18128,1.31932,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8820.14,1.43776,1.01203,1.2269,0.90085,0.78665,0.88198,0.50611,1.52664,1.18645,1.30206,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9255.59,1.43463,0.99854,1.22458,0.90521,0.79926,0.88637,0.51214,1.51788,1.14007,1.29415,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9685.25,1.43603,1.00496,1.21995,0.90645,0.80039,0.88963,0.51517,1.49117,1.16648,1.27542,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10118.4,1.42786,0.98006,1.21767,0.89077,0.80963,0.8852,0.51392,1.50217,1.11269,1.28492,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10550.5,1.42171,0.98075,1.21521,0.89102,0.80799,0.89354,0.52071,1.49171,1.11771,1.27402,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10987,1.42136,0.97,1.21147,0.88808,0.81174,0.89148,0.51649,1.49795,1.11399,1.27568,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,11418.6,1.41737,0.97205,1.208,0.89689,0.82795,0.89815,0.52395,1.48562,1.11974,1.26464,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11850.3,1.41605,0.97256,1.20835,0.90018,0.8189,0.89505,0.52516,1.47657,1.10268,1.26699,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,12280.6,1.41497,0.95753,1.2063,0.89608,0.82078,0.89804,0.52474,1.49868,1.08124,1.27976,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12717.7,1.4036,0.95455,1.20361,0.89522,0.81838,0.89595,0.5244,1.47442,1.11499,1.27004,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,13149.7,1.40748,0.94867,1.20418,0.89601,0.82112,0.89565,0.52623,1.46679,1.09936,1.26179,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13576.6,1.4052,0.9478,1.2034,0.90416,0.81565,0.89934,0.53029,1.47526,1.07829,1.26667,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,14002.8,1.39439,0.9451,1.2008,0.90284,0.814,0.89803,0.53123,1.48268,1.09264,1.26783,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14429,1.39189,0.93394,1.19267,0.89566,0.82182,0.8999,0.53052,1.48061,1.09511,1.25984,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14857.1,1.38745,0.92858,1.19598,0.88924,0.82565,0.90109,0.52966,1.47223,1.07007,1.25789,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15285,1.38915,0.93007,1.19812,0.90141,0.82027,0.90009,0.53187,1.47785,1.07541,1.26407,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15715.4,1.39092,0.91669,1.19835,0.89588,0.82932,0.90231,0.53237,1.47639,1.0606,1.26446,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16143,1.37599,0.90915,1.19121,0.89933,0.82594,0.90423,0.53434,1.47206,1.0488,1.26456,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
