epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,16574.4,1.37495,0.9081,1.1921,0.89807,0.82897,0.9055,0.53616,1.46564,1.0339,1.26307,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17006.6,1.37458,0.89252,1.18825,0.91349,0.8233,0.90758,0.53678,1.4654,1.03408,1.26236,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17442.5,1.36837,0.88613,1.1831,0.90844,0.8233,0.90632,0.53404,1.4769,1.0394,1.26709,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17886.4,1.3657,0.89015,1.18575,0.91061,0.82112,0.9065,0.53584,1.47137,1.0404,1.26394,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18331.8,1.36385,0.88241,1.1792,0.90933,0.82294,0.90528,0.53612,1.46881,1.03577,1.26167,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18775.7,1.3678,0.87377,1.18566,0.91063,0.82497,0.90588,0.5369,1.46885,1.02074,1.26254,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,178.433,1.35579,0.86797,1.17019,0.91246,0.82166,0.90653,0.53661,1.46676,1.02235,1.25763,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,350.38,1.3577,0.87917,1.17493,0.90656,0.82823,0.90692,0.53707,1.4684,1.01553,1.2573,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,523.495,1.35742,0.87077,1.17215,0.91415,0.8244,0.90605,0.5376,1.46969,1.01489,1.25772,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,692.973,1.35988,0.86812,1.17363,0.9075,0.82713,0.90773,0.53775,1.47006,1.0134,1.25808,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,863.929,1.35368,0.86027,1.17467,0.90837,0.82877,0.90887,0.53858,1.4701,1.00814,1.2565,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1032.94,1.34998,0.85497,1.17129,0.90685,0.83081,0.90817,0.5389,1.472,1.00383,1.25642,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1201.87,1.34198,0.84797,1.16967,0.9061,0.83151,0.90734,0.54034,1.47166,1.00356,1.25556,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1371.3,1.33895,0.84509,1.16116,0.90725,0.82941,0.90728,0.54058,1.4736,1.00583,1.25642,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1540.86,1.33571,0.83669,1.16375,0.90843,0.83042,0.90869,0.54009,1.47652,1.00107,1.25779,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1709.5,1.33375,0.84101,1.1589,0.90937,0.8326,0.90901,0.53914,1.47492,0.99957,1.25655,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1878.47,1.33337,0.82937,1.16484,0.91109,0.8337,0.90986,0.54009,1.47637,0.99728,1.25811,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2046.88,1.33258,0.83315,1.16097,0.91156,0.83315,0.90965,0.53915,1.47647,0.99746,1.258,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2215.56,1.32189,0.81293,1.15688,0.9106,0.8326,0.90898,0.53961,1.47666,0.99623,1.25808,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2384.63,1.32486,0.82468,1.16041,0.9126,0.82987,0.90948,0.53983,1.47715,0.99724,1.25833,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2555.68,1.3116,0.81348,1.15524,0.91682,0.82932,0.91043,0.53955,1.47835,0.99591,1.25941,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2724.99,1.31743,0.80705,1.15338,0.91547,0.83042,0.91082,0.54008,1.47939,0.99366,1.26025,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2893.68,1.3107,0.80069,1.15239,0.91482,0.82838,0.91031,0.54076,1.48006,0.99214,1.2611,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3062.88,1.31881,0.80719,1.16045,0.91571,0.82611,0.91019,0.54118,1.48033,0.9908,1.26181,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3233.14,1.30237,0.79227,1.15291,0.91664,0.82604,0.91009,0.54095,1.4803,0.98944,1.2622,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3401.87,1.29846,0.78674,1.14428,0.91682,0.82659,0.90984,0.54056,1.48078,0.98754,1.26272,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3573.86,1.29581,0.78395,1.14464,0.91855,0.82665,0.90954,0.54059,1.47982,0.98646,1.26199,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3745.43,1.29538,0.78286,1.13849,0.91672,0.82499,0.90936,0.54062,1.47798,0.98419,1.26091,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3915.68,1.2862,0.76788,1.13816,0.91933,0.8244,0.90949,0.54051,1.47781,0.98311,1.26114,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4086.33,1.2866,0.76977,1.14138,0.91968,0.82385,0.90935,0.54063,1.47799,0.98193,1.26095,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4257.34,1.27971,0.7665,1.13789,0.91981,0.82203,0.90898,0.53994,1.47929,0.98089,1.26189,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4426.93,1.27544,0.76255,1.13374,0.92004,0.82276,0.90898,0.53996,1.47936,0.98186,1.26181,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4597.45,1.27476,0.76055,1.13686,0.92056,0.82276,0.9092,0.53945,1.4792,0.98178,1.26147,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4767.41,1.27285,0.75305,1.13489,0.91778,0.82276,0.90932,0.53974,1.4801,0.98135,1.26157,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4936.09,1.26526,0.75091,1.12708,0.91777,0.82221,0.90923,0.53959,1.48104,0.98107,1.26241,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5106.33,1.26514,0.74697,1.12611,0.91374,0.82221,0.90898,0.53921,1.48116,0.98096,1.26254,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5276.83,1.26017,0.74375,1.12584,0.91374,0.82221,0.90875,0.53894,1.48168,0.98005,1.26236,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5447.02,1.24996,0.73935,1.1218,0.9143,0.82166,0.90883,0.5387,1.48192,0.97922,1.26223,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5617.18,1.24768,0.73021,1.11814,0.91426,0.82246,0.90885,0.53834,1.48212,0.97804,1.26221,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5786.27,1.23925,0.72891,1.11651,0.91543,0.82057,0.90905,0.53876,1.48179,0.97613,1.2617,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5956.01,1.23762,0.72145,1.11117,0.91831,0.82002,0.90939,0.53971,1.48339,0.97426,1.26319,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6125.06,1.2378,0.71636,1.11307,0.91138,0.8244,0.90899,0.53912,1.48401,0.97218,1.2634,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6295.22,1.22588,0.70595,1.10597,0.89228,0.84281,0.90941,0.53934,1.48462,0.9712,1.26365,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6464.59,1.22306,0.70819,1.10438,0.91423,0.82213,0.9092,0.53939,1.48508,0.97085,1.26361,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
